descrição,linha,lv01_BorderDist,lv12_BorderDist,lv23_BorderDist,lv34_BorderDist,lv45_BorderDist,tex_lv01_BorderDist,drawDist,shadowDrawDist,motionBlur_BorderDist,DistantViewModel_BorderDist,LimtedActivate_BorderDist_forGrid,shadowDrawAlphaTestDist
"terrenos, pedras de abismos da raiz profunda 1 e mansão vulcanica 1",2,25,25,25,25,25,25,2000,200,100,-1,-1,50
mina do vilarejo da ravina 1 e academia de raya lucaria 1,5,200,200,200,200,200,25,250,50,100,-1,-1,50
personagem,8,25,25,25,25,25,-1,25,-1,100,-1,-1,-1
Varré e Yuria (NPC) em limgrave,11,25,25,25,25,25,-1,100,-1,100,-1,-1,-1
tartaruga em limgrave,12,0,25,25,25,25,-1,100,-1,100,-1,-1,-1
soldados de godrick,13,25,50,50,50,50,25,100,-1,100,-1,-1,-1
"alexander (NPC), ursos em arredores da capital, lobos gigantes de mansão cariana, cavalaria de godrick e velha dos dois dedos (NPC)",14,25,25,25,25,25,25,100,-1,100,-1,-1,-1
gigantes de pedra e tartaruga de liurnia (NPC),15,25,25,25,25,25,50,400,-1,100,-1,-1,-1
"pote gigante de caelid, dragão de limgrave e cabeça de Rykard",16,25,50,50,50,50,-1,400,-1,100,-1,-1,-1
mausoleu (tartaruga),17,50,200,500,500,500,25,500,50,100,-1,-1,50
caveiras em mausoleu de liurnia,29,0,0,0,0,0,-1,50,-1,100,-1,-1,-1
arbustos em cavernas turvaguas e no lago de limgrave,37,0,0,50,50,50,15,50,-1,100,-1,-1,-1
pedras de penhascos robustas e pedras de caelid 1,47,25,50,100,100,100,1200,2150,200,100,-1,-1,50
pedras em peninsula das lágrimas e pedras pontiagudas de monte gelmir/plato altus,48,0,50,100,100,100,25,200,200,100,-1,-1,50
carruagem em plato altus e portão de mausoleu (tartaruga) de montanha dos gigantes,51,0,200,200,200,200,25,200,50,100,-1,-1,50
"piso da ponte quebrada da academia de raya lucaria, estrada de pedras de limgrave, escada de ordina e arvore morta de montanha dos gigantes",52,0,100,100,100,100,25,400,50,100,-1,-1,50
"carruagem em liurnia/limgrave, escombros em catedral de manus celes, lápide gigante em peninsula das lágrimas, andaimes em caelid 1, patamar em vilarejo dos albinauricos e obeliscos de estrada bellum",53,25,50,50,50,50,50,400,50,100,-1,-1,50
"pedras de caelid 2, mansão cariana 1, castelo morne 1, arvore morta em peninsula das lágrimas, portal para elevador de dectus de perto 1 e arvore morta em caelid",54,50,100,100,100,100,50,400,200,100,-1,-1,50
"objetos variados, andaimes de castelo sol, guarda corpo de santuario bestial, caixões em limgrave, mansão cariana 2 e arvores de castelo morne",55,25,50,100,100,100,25,400,-1,100,-1,-1,-1
"arbustos de folhas grandes, itens e bau em restos da dinastia uhl",56,25,50,50,50,50,25,100,-1,100,-1,-1,-1
portão do santuario bestial e abominações de caelid,58,25,50,50,50,50,25,200,50,100,-1,-1,50
corpo em cemiterio a deriva,59,0,25,25,25,25,25,100,-1,100,-1,-1,-1
musgo de caverna de cristal,62,0,0,0,0,0,-1,50,-1,100,-1,-1,-1
balão em liurnia,66,0,100,100,100,100,-1,200,-1,100,-1,-1,-1
pedras de penhascos pontiagudas e pedras da base de monte Gelmir,67,0,25,25,25,25,1000,2000,200,100,-1,-1,50
estatua de marika em peninsula das lágrimas e estatua de radagon em liurnia,68,0,50,50,50,50,25,100,-1,100,-1,-1,-1
pedras pequenas de plato altus,70,0,25,25,25,25,50,100,-1,100,-1,-1,-1
pedras medianas de plato altus,71,0,25,25,25,25,100,100,-1,100,-1,-1,50
