ID,Name,LOD0_range,LOD0_play,LOD1_range,LOD1_play,LOD2_range,LOD2_play,
0,,20,5,80,10,120,20,
1,,20,5,80,10,120,20,
2,,10,3,40,6,60,12,
3,,5,3,0,0,0,0,
4,,20,3,50,6,60,10,
5,,5,1,20,6,80,12,
10,,5,1,120,6,140,12,
11,,4,1,20,6,60,12,
12,,50,1,140,6,160,12,
13,,5,5,120,10,150,20,
14,,10,4,60,3,70,12,
20,,10,1,120,6,140,12,
21,,4,1,20,6,60,12,
22,,20,1,120,6,140,12,
99,,10,0,30,0,60,0,
105,,10,2,40,6,80,12,
108,,12,2,40,6,200,12,
109,,15,2,180,6,200,12,
110,,10,2.5,40,6,200,12,
111,,10,2.5,40,6,128,12,
208,,35,2,60,6,200,12,
209,,30,2,180,6,200,12,
210,,40,2.5,80,6,200,12,
211,,40,2.5,80,6,128,12,
310,,25,5,60,6,140,12,
311,,30,0.5,50,6,60,12,
312,,25,2,100,6,999,10,
313,,30,5,80,6,300,12,
314,,25,4,60,6,80,12,
315,,25,2,100,6,999,10,
316,,15,2,75,6,999,10,
317,,30,5,120,10,500,20,
318,,3,5,12,10,50,20,
319,,30,0.5,50,6,60,12,
320,,10,0.5,25,6,60,12,
410,,65,5,90,3,200,12,
411,,15,0.5,40,6,80,12,
412,,30,5,120,10,500,20,
413,,50,5,100,6,200,12,
