ID,Name,LOD0_range,LOD0_play,LOD1_range,LOD1_play,LOD2_range,LOD2_play,
0,,-1,-1,-1,-1,-1,-1,
1,,-1,-1,-1,-1,-1,-1,
2,,-1,-1,-1,-1,-1,-1,
3,,-1,-1,-1,-1,-1,-1,
4,,-1,-1,-1,-1,-1,-1,
5,,-1,-1,-1,-1,-1,-1,
10,,-1,-1,-1,-1,-1,-1,
11,,-1,-1,-1,-1,-1,-1,
12,,-1,-1,-1,-1,-1,-1,
13,,-1,-1,-1,-1,-1,-1,
14,,-1,-1,-1,-1,-1,-1,
20,,-1,-1,-1,-1,-1,-1,
21,,-1,-1,-1,-1,-1,-1,
22,,-1,-1,-1,-1,-1,-1,
99,,-1,-1,-1,-1,-1,-1,
105,,-1,-1,-1,-1,-1,-1,
108,,-1,-1,-1,-1,-1,-1,
109,,-1,-1,-1,-1,-1,-1,
110,,-1,-1,-1,-1,-1,-1,
111,,-1,-1,-1,-1,-1,-1,
208,,-1,-1,-1,-1,-1,-1,
209,,-1,-1,-1,-1,-1,-1,
210,,-1,-1,-1,-1,-1,-1,
211,,-1,-1,-1,-1,-1,-1,
