ID,Name,DrawDist_LvBegin,DrawDist_LvEnd,reserve0,DrawDist_ScaleBegin,DrawDist_ScaleEnd,ShadwDrawDist_LvBegin,ShadwDrawDist_LvEnd,reserve1,ShadwDrawDist_ScaleBegin,ShadwDrawDist_ScaleEnd,reserve2,
0,Debug/Testing/Out of Bounds Terrain?,0,0,[0|0],1,1,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
1,"Player Model? ",0,0,[0|0],1,1,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
2,"Dead NPCs? ",0,0,[0|0],1,0.5,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
3,,0,0,[0|0],1,0.5,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
4,Big Trees? and some World Objects And Dungeon Objects?,0,0,[0|0],1,0.8,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
5,"Small Bushes And Pickable Bushes? ",0,0,[0|0],1,0.6,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
6,Small Trees and can Disable Shadows Under Trees And Stuff?,0,0,[0|0],1,0.5,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
7,,0,0,[0|0],1,0.4,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
8,Small Bushes?,0,0,[0|0],1,0.3,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
10,"Wandering Animals and Mosquitoes?  ",0,0,[0|0],1,0.25,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
11,Small Enemies and NPCs?,0,0,[0|0],1,0.5,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
12,"Bigger enemies? ",0,0,[0|0],1,1,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
13,Even Bigger enemies? And Bosses?,0,0,[0|0],1,1,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
20,Terrain Buildings and World Objects?,0,0,[0|0],1,1,0,0,[0|0],-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],
